AVGDNSTRMQAMUTLZN,Bundle,Market,Node Health,IPDR DOWN,IPDR UP,Observation Count,Actual Rate,Predicted Rate
LOW,Internet Only,Hawaii,"05 [1.9149, 3.2258]","05 [12.29, 16.54]","07 [1.13, 1.65]",2179,0.000459,0.0004338384147
LOW,Internet Only,Sierra Nevada,"09 [16.5192, 100.0]","01 [0.02, 2.13]","01 [0.009, 0.13]",3125,0.000640,0.0003105499462
LOW,Internet/Voice,South Carolina,"03 [0.5976, 1.1236]","06 [16.54, 21.71]","05 [0.59, 0.81]",228,0.000000,0.000524597951
LOW,Internet Only,Central States,NULL,"03 [5.13, 8.53]","07 [1.13, 1.65]",226,0.004425,0.0009182287825
ZERO,Internet Only,Central Texas,"07 [5.4369, 9.1667]","06 [16.54, 21.71]","07 [1.13, 1.65]",840,0.001190,0.0007842857489
HIGH,Video/Internet,South Manhattan,"04 [1.1254, 1.9139]","08 [28.685, 40.36]","04 [0.41, 0.59]",169,0.000000,0.0006721795101
LOW,Internet/Voice,West Florida,"01 [0.0, 0.0]","05 [12.29, 16.54]","02 [0.13, 0.26]",264,0.000000,0.0007338448269
> 0.95,Internet Only,Wisconsin,"03 [0.5976, 1.1236]","09 [40.36, 1134.70]","08 [1.65, 2.80]",437,0.000000,0.0004764055905
LOW,Video/Internet,Michigan,"09 [16.5192, 100.0]","05 [12.29, 16.54]","02 [0.13, 0.26]",322,0.000000,0.0006904184869
> 0.95,Internet Only,Michigan,"06 [3.2313, 5.4348]","08 [28.685, 40.36]","06 [0.81, 1.13]",29,0.000000,0.0005733454663
LOW,Video/Internet,East Central Florida,NULL,"02 [2.13, 5.13]","02 [0.13, 0.26]",54,0.000000,0.0008505878751
> 0.95,Video/Internet/Voice,Midwest Central,"03 [0.5976, 1.1236]","04 [8.53, 12.29]","07 [1.13, 1.65]",7,0.000000,0.0009544021315
LOW,Internet Only,East Florida,"05 [1.9149, 3.2258]","01 [0.02, 2.13]","09 [2.80, 440.64]",79,0.000000,0.0005387831124
ZERO,Video/Internet/Voice,So Cal South,"02 [0.1236, 0.597]","02 [2.13, 5.13]","03 [0.26, 0.41]",119,0.000000,0.002798855318
